"Identifier","CID","MolecularFormula","MolecularWeight","CanonicalSMILES","IsomericSMILES","InChI","InChIKey","IUPACName","ExactMass","MonoisotopicMass"
"1,4-Cyclohexanedicarboxylic acid",14106,"C8H12O4",172.18,"C1CC(CCC1C(=O)O)C(=O)O","C1CC(CCC1C(=O)O)C(=O)O","InChI=1S/C8H12O4/c9-7(10)5-1-2-6(4-3-5)8(11)12/h5-6H,1-4H2,(H,9,10)(H,11,12)","PXGZQGDTEZPERC-UHFFFAOYSA-N","cyclohexane-1,4-dicarboxylic acid",172.07355886,172.07355886
"1,5-Pentanediamine",273,"C5H14N2",102.18,"C(CCN)CCN","C(CCN)CCN","InChI=1S/C5H14N2/c6-4-2-1-3-5-7/h1-7H2","VHRGRCVQAFMJIZ-UHFFFAOYSA-N","pentane-1,5-diamine",102.115698455,102.115698455
"10-Hydroxy-2-decenoic acid",5312738,"C10H18O3",186.25,"C(CCCC=CC(=O)O)CCCO","C(CCC/C=C/C(=O)O)CCCO","InChI=1S/C10H18O3/c11-9-7-5-3-1-2-4-6-8-10(12)13/h6,8,11H,1-5,7,9H2,(H,12,13)/b8-6+","QHBZHVUGQROELI-SOFGYWHQSA-N","(E)-10-hydroxydec-2-enoic acid",186.125594432,186.125594432
"10-Methylundecanoic acid",75942,"C12H24O2",200.32,"CC(C)CCCCCCCCC(=O)O","CC(C)CCCCCCCCC(=O)O","InChI=1S/C12H24O2/c1-11(2)9-7-5-3-4-6-8-10-12(13)14/h11H,3-10H2,1-2H3,(H,13,14)","QJRRBVNPIKYRQJ-UHFFFAOYSA-N","10-methylundecanoic acid",200.177630004,200.177630004
"10-Undecynoic acid",31039,"C11H18O2",182.26,"C#CCCCCCCCCC(=O)O","C#CCCCCCCCCC(=O)O","InChI=1S/C11H18O2/c1-2-3-4-5-6-7-8-9-10-11(12)13/h1H,3-10H2,(H,12,13)","OAOUTNMJEFWJPO-UHFFFAOYSA-N","undec-10-ynoic acid",182.130679813,182.130679813
"1-Oleoyl-sn-glycero-3-phosphocholine",16081932,"C26H52NO7P",521.7,"CCCCCCCCC=CCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)O","CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)O","InChI=1S/C26H52NO7P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-26(29)32-23-25(28)24-34-35(30,31)33-22-21-27(2,3)4/h12-13,25,28H,5-11,14-24H2,1-4H3/b13-12-/t25-/m1/s1","YAMUFBLWGFFICM-PTGWMXDISA-N","[(2R)-2-hydroxy-3-[(Z)-octadec-9-enoyl]oxypropyl] 2-(trimethylazaniumyl)ethyl phosphate",521.34814,521.34814
"1-Oleoyl-sn-glycero-3-phosphoethanolamine",9547071,"C23H46NO7P",479.6,"CCCCCCCCC=CCCCCCCCC(=O)OCC(COP(=O)(O)OCCN)O","CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)O","InChI=1S/C23H46NO7P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-23(26)29-20-22(25)21-31-32(27,28)30-19-18-24/h9-10,22,25H,2-8,11-21,24H2,1H3,(H,27,28)/b10-9-/t22-/m1/s1","PYVRVRFVLRNJLY-MZMPXXGTSA-N","[(2R)-3-[2-aminoethoxy(hydroxy)phosphoryl]oxy-2-hydroxypropyl] (Z)-octadec-9-enoate",479.3011898,479.3011898
"1-Palmitoyl-2-hydroxy-sn-glycero-3-phosphoethanolamine",9547069,"C21H44NO7P",453.5,"CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCCN)O","CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)O","InChI=1S/C21H44NO7P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-21(24)27-18-20(23)19-29-30(25,26)28-17-16-22/h20,23H,2-19,22H2,1H3,(H,25,26)/t20-/m1/s1","YVYMBNSKXOXSKW-HXUWFJFHSA-N","[(2R)-3-[2-aminoethoxy(hydroxy)phosphoryl]oxy-2-hydroxypropyl] hexadecanoate",453.28553974,453.28553974
"1-Palmitoyl-sn-glycero-3-phosphocholine",460602,"C24H50NO7P",495.6,"CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)O","CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)O","InChI=1S/C24H50NO7P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-24(27)30-21-23(26)22-32-33(28,29)31-20-19-25(2,3)4/h23,26H,5-22H2,1-4H3/t23-/m1/s1","ASWBNKHCZGQVJV-HSZRJFAPSA-N","[(2R)-3-hexadecanoyloxy-2-hydroxypropyl] 2-(trimethylazaniumyl)ethyl phosphate",495.33248993,495.33248993
"1-Stearoyl-2-hydroxy-sn-glycero-3-phosphoethanolamine",46891690,"C23H48NO7P",481.6,"CCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[NH3+])O","CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[NH3+])O","InChI=1S/C23H48NO7P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-23(26)29-20-22(25)21-31-32(27,28)30-19-18-24/h22,25H,2-21,24H2,1H3,(H,27,28)/t22-/m1/s1","BBYWOYAFBUOUFP-JOCHJYFZSA-N","2-azaniumylethyl [(2R)-2-hydroxy-3-octadecanoyloxypropyl] phosphate",481.31683987,481.31683987
"2-(1-hydroxyethyl)-4-(2-hydroxypropyl)-2H-furan-5-one",24094117,"C9H14O4",186.2,"CC(CC1=CC(OC1=O)C(C)O)O","CC(CC1=CC(OC1=O)C(C)O)O","InChI=1S/C9H14O4/c1-5(10)3-7-4-8(6(2)11)13-9(7)12/h4-6,8,10-11H,3H2,1-2H3","JAAFNWYGLROOGI-UHFFFAOYSA-N","2-(1-hydroxyethyl)-4-(2-hydroxypropyl)-2H-furan-5-one",186.08920892,186.08920892
"3-Dehydrocarnitine",6991982,"C7H13NO3",159.18,"C[N+](C)(C)CC(=O)CC(=O)[O-]","C[N+](C)(C)CC(=O)CC(=O)[O-]","InChI=1S/C7H13NO3/c1-8(2,3)5-6(9)4-7(10)11/h4-5H2,1-3H3","YNOWULSFLVIUDH-UHFFFAOYSA-N","3-oxo-4-(trimethylazaniumyl)butanoate",159.08954328,159.08954328
"3-Hydroxybutyrylcarnitine",71464477,"C11H21NO5",247.29,"CC(CC(=O)OC(CC(=O)[O-])C[N+](C)(C)C)O","CC(CC(=O)OC(CC(=O)[O-])C[N+](C)(C)C)O","InChI=1S/C11H21NO5/c1-8(13)5-11(16)17-9(6-10(14)15)7-12(2,3)4/h8-9,13H,5-7H2,1-4H3","UEFRDQSMQXDWTO-UHFFFAOYSA-N","3-(3-hydroxybutanoyloxy)-4-(trimethylazaniumyl)butanoate",247.14197277,247.14197277
"4-HYDROXYBENZALDEHYDE",126,"C7H6O2",122.12,"C1=CC(=CC=C1C=O)O","C1=CC(=CC=C1C=O)O","InChI=1S/C7H6O2/c8-5-6-1-3-7(9)4-2-6/h1-5,9H","RGHHSNMVTDWUBI-UHFFFAOYSA-N","4-hydroxybenzaldehyde",122.03677943,122.03677943
"4-Hydroxy-L-isoleucine",2773624,"C6H13NO3",147.17,"CC(C(C)O)C(C(=O)O)N","C[C@H]([C@@H](C(=O)O)N)C(C)O","InChI=1S/C6H13NO3/c1-3(4(2)8)5(7)6(9)10/h3-5,8H,7H2,1-2H3,(H,9,10)/t3-,4?,5-/m0/s1","OSCCDBFHNMXNME-DSDZBIDZSA-N","(2S,3R)-2-amino-4-hydroxy-3-methylpentanoic acid",147.08954328,147.08954328
"4-Hydroxynonenal glutathione",53394097,"C19H33N3O8S",463.5,"CCCCCC(C(CC=O)SCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N)O","CCCCCC(C(CC=O)SCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N)O","InChI=1S/C19H33N3O8S/c1-2-3-4-5-14(24)15(8-9-23)31-11-13(18(28)21-10-17(26)27)22-16(25)7-6-12(20)19(29)30/h9,12-15,24H,2-8,10-11,20H2,1H3,(H,21,28)(H,22,25)(H,26,27)(H,29,30)","NOKRNJLENDLSKM-UHFFFAOYSA-N","2-amino-5-[[1-(carboxymethylamino)-3-(4-hydroxy-1-oxononan-3-yl)sulfanyl-1-oxopropan-2-yl]amino]-5-oxopentanoic acid",463.19883619,463.19883619
"4-Imidazoleacrylic acid",736715,"C6H6N2O2",138.12,"C1=C(NC=N1)C=CC(=O)O","C1=C(NC=N1)/C=C/C(=O)O","InChI=1S/C6H6N2O2/c9-6(10)2-1-5-3-7-4-8-5/h1-4H,(H,7,8)(H,9,10)/b2-1+","LOIYMIARKYCTBW-OWOJBTEDSA-N","(E)-3-(1H-imidazol-5-yl)prop-2-enoic acid",138.042927438,138.042927438
"4-Oxo-2-nonenal",6445537,"C9H14O2",154.21,"CCCCCC(=O)C=CC=O","CCCCCC(=O)/C=C/C=O","InChI=1S/C9H14O2/c1-2-3-4-6-9(11)7-5-8-10/h5,7-8H,2-4,6H2,1H3/b7-5+","SEPPVOUBHWNCAW-FNORWQNLSA-N","(E)-4-oxonon-2-enal",154.099379685,154.099379685
"5.alpha.-Androstan-3.beta.-ol",92877,"C19H32O",276.5,"CC12CCCC1C3CCC4CC(CCC4(C3CC2)C)O","C[C@@]12CCC[C@H]1[C@@H]3CC[C@H]4C[C@H](CC[C@@]4([C@H]3CC2)C)O","InChI=1S/C19H32O/c1-18-9-3-4-16(18)15-6-5-13-12-14(20)7-11-19(13,2)17(15)8-10-18/h13-17,20H,3-12H2,1-2H3/t13-,14-,15-,16-,17-,18-,19-/m0/s1","DJTOLSNIKJIDFF-LOVVWNRFSA-N","(3S,5S,8S,9S,10S,13S,14S)-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-3-ol",276.24531564,276.24531564
"5-Hydroxytryptophol",9061,"C10H11NO2",177.2,"C1=CC2=C(C=C1O)C(=CN2)CCO","C1=CC2=C(C=C1O)C(=CN2)CCO","InChI=1S/C10H11NO2/c12-4-3-7-6-11-10-2-1-8(13)5-9(7)10/h1-2,5-6,11-13H,3-4H2","KQROHCSYOGBQGJ-UHFFFAOYSA-N","3-(2-hydroxyethyl)-1H-indol-5-ol",177.078978594,177.078978594
"8S-Hydroxy-4Z,6E,10Z-hexadecatrienoic acid",5282970,"C16H26O3",266.38,"CCCCCC=CCC(C=CC=CCCC(=O)O)O","CCCCC/C=C\C[C@H](/C=C/C=C\CCC(=O)O)O","InChI=1S/C16H26O3/c1-2-3-4-5-6-9-12-15(17)13-10-7-8-11-14-16(18)19/h6-10,13,15,17H,2-5,11-12,14H2,1H3,(H,18,19)/b8-7-,9-6-,13-10+/t15-/m1/s1","KBOVKDIBOBQLRS-QCNAHCIUSA-N","(4Z,6E,8R,10Z)-8-hydroxyhexadeca-4,6,10-trienoic acid",266.18819469,266.18819469
"Adenosine 5'-diphosphate",6022,"C10H15N5O10P2",427.2,"C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)O)O)O)N","C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)O)O)O)N","InChI=1S/C10H15N5O10P2/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(24-10)1-23-27(21,22)25-26(18,19)20/h2-4,6-7,10,16-17H,1H2,(H,21,22)(H2,11,12,13)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1","XTWYTFMLZFPYCI-KQYNXXCUSA-N","[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl phosphono hydrogen phosphate",427.02941569,427.02941569
"Adenosine 5'-monophosphate",6083,"C10H14N5O7P",347.22,"C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)O)O)N","C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O)N","InChI=1S/C10H14N5O7P/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(22-10)1-21-23(18,19)20/h2-4,6-7,10,16-17H,1H2,(H2,11,12,13)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1","UDMBCSSLTHHNCD-KQYNXXCUSA-N","[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl dihydrogen phosphate",347.0630848,347.0630848
"Adenosine 5'-triphosphate",5957,"C10H16N5O13P3",507.18,"C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N","C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N","InChI=1S/C10H16N5O13P3/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(26-10)1-25-30(21,22)28-31(23,24)27-29(18,19)20/h2-4,6-7,10,16-17H,1H2,(H,21,22)(H,23,24)(H2,11,12,13)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1","ZKHQWZAMYRWXGA-KQYNXXCUSA-N","[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] phosphono hydrogen phosphate",506.99574658,506.99574658
"Adipoyl-L-carnitine",154731578,"C13H23NO6",289.32,"[H+].C[N+](C)(C)CC(CC(=O)[O-])OC(=O)CCCCC(=O)[O-]","[H+].C[N+](C)(C)C[C@@H](CC(=O)[O-])OC(=O)CCCCC(=O)[O-]","InChI=1S/C13H23NO6/c1-14(2,3)9-10(8-12(17)18)20-13(19)7-5-4-6-11(15)16/h10H,4-9H2,1-3H3,(H-,15,16,17,18)/t10-/m1/s1","BSVHAXJKBCWVDA-SNVBAGLBSA-N","6-[(2R)-1-carboxylato-3-(trimethylazaniumyl)propan-2-yl]oxy-6-oxohexanoate;hydron",289.15253745,289.15253745
"Alantolactone",72724,"C15H20O2",232.32,"CC1CCCC2(C1=CC3C(C2)OC(=O)C3=C)C","C[C@H]1CCC[C@]2(C1=C[C@H]3[C@@H](C2)OC(=O)C3=C)C","InChI=1S/C15H20O2/c1-9-5-4-6-15(3)8-13-11(7-12(9)15)10(2)14(16)17-13/h7,9,11,13H,2,4-6,8H2,1,3H3/t9-,11+,13+,15+/m0/s1","PXOYOCNNSUAQNS-AGNJHWRGSA-N","(3aR,5S,8aR,9aR)-5,8a-dimethyl-3-methylidene-5,6,7,8,9,9a-hexahydro-3aH-benzo[f][1]benzofuran-2-one",232.146329876,232.146329876
"Aleuritic acid",222178,"C16H32O5",304.42,"C(CCCC(C(CCCCCCO)O)O)CCCC(=O)O","C(CCC[C@H]([C@H](CCCCCCO)O)O)CCCC(=O)O","InChI=1S/C16H32O5/c17-13-9-5-4-7-11-15(19)14(18)10-6-2-1-3-8-12-16(20)21/h14-15,17-19H,1-13H2,(H,20,21)/t14-,15+/m1/s1","MEHUJCGAYMDLEL-CABCVRRESA-N","(9R,10S)-9,10,16-trihydroxyhexadecanoic acid",304.22497412,304.22497412
"allo-Protolichesterinic acid",71443326,"C19H32O4",324.5,"CCCCCCCCCCCCCC1C(C(=C)C(=O)O1)C(=O)O","CCCCCCCCCCCCC[C@H]1[C@H](C(=C)C(=O)O1)C(=O)O","InChI=1S/C19H32O4/c1-3-4-5-6-7-8-9-10-11-12-13-14-16-17(18(20)21)15(2)19(22)23-16/h16-17H,2-14H2,1H3,(H,20,21)/t16-,17-/m0/s1","WZYZDHVPSZCEEP-IRXDYDNUSA-N","(2S,3S)-4-methylidene-5-oxo-2-tridecyloxolane-3-carboxylic acid",324.2300595,324.2300595
"ALPHA-AMINOADIPIC ACID",469,"C6H11NO4",161.16,"C(CC(C(=O)O)N)CC(=O)O","C(CC(C(=O)O)N)CC(=O)O","InChI=1S/C6H11NO4/c7-4(6(10)11)2-1-3-5(8)9/h4H,1-3,7H2,(H,8,9)(H,10,11)","OYIFNHCXNCRBQI-UHFFFAOYSA-N","2-aminohexanedioic acid",161.06880783,161.06880783
"AMINOADIPATE",92136,"C6H11NO4",161.16,"C(CC(C(=O)O)N)CC(=O)O","C(C[C@@H](C(=O)O)N)CC(=O)O","InChI=1S/C6H11NO4/c7-4(6(10)11)2-1-3-5(8)9/h4H,1-3,7H2,(H,8,9)(H,10,11)/t4-/m0/s1","OYIFNHCXNCRBQI-BYPYZUCNSA-N","(2S)-2-aminohexanedioic acid",161.06880783,161.06880783
"Androstane-3,17-diol, (3.beta.,5.alpha.,17.beta.)-",242332,"C19H32O2",292.5,"CC12CCC(CC1CCC3C2CCC4(C3CCC4O)C)O","C[C@]12CC[C@@H](C[C@@H]1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CC[C@@H]4O)C)O","InChI=1S/C19H32O2/c1-18-9-7-13(20)11-12(18)3-4-14-15-5-6-17(21)19(15,2)10-8-16(14)18/h12-17,20-21H,3-11H2,1-2H3/t12-,13-,14-,15-,16-,17-,18-,19-/m0/s1","CBMYJHIOYJEBSB-YSZCXEEOSA-N","(3S,5S,8R,9S,10S,13S,14S,17S)-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthrene-3,17-diol",292.240230259,292.240230259
"Asp-Ile",21845165,"C10H18N2O5",246.26,"CCC(C)C(C(=O)O)NC(=O)C(CC(=O)O)N","CCC(C)C(C(=O)O)NC(=O)C(CC(=O)O)N","InChI=1S/C10H18N2O5/c1-3-5(2)8(10(16)17)12-9(15)6(11)4-7(13)14/h5-6,8H,3-4,11H2,1-2H3,(H,12,15)(H,13,14)(H,16,17)","BSWHERGFUNMWGS-UHFFFAOYSA-N","2-[(2-amino-3-carboxypropanoyl)amino]-3-methylpentanoic acid",246.12157168,246.12157168
"Asp-Val",7009616,"C9H16N2O5",232.23,"CC(C)C(C(=O)O)NC(=O)C(CC(=O)O)N","CC(C)[C@@H](C(=O)O)NC(=O)[C@H](CC(=O)O)N","InChI=1S/C9H16N2O5/c1-4(2)7(9(15)16)11-8(14)5(10)3-6(12)13/h4-5,7H,3,10H2,1-2H3,(H,11,14)(H,12,13)(H,15,16)/t5-,7-/m0/s1","CPMKYMGGYUFOHS-FSPLSTOPSA-N","(2S)-2-[[(2S)-2-amino-3-carboxypropanoyl]amino]-3-methylbutanoic acid",232.10592162,232.10592162
"BETAINE",247,"C5H11NO2",117.15,"C[N+](C)(C)CC(=O)[O-]","C[N+](C)(C)CC(=O)[O-]","InChI=1S/C5H11NO2/c1-6(2,3)4-5(7)8/h4H2,1-3H3","KWIUHFFTVRNATP-UHFFFAOYSA-N","2-(trimethylazaniumyl)acetate",117.078978594,117.078978594
"Brefeldin A",5287620,"C16H24O4",280.36,"CC1CCCC=CC2CC(CC2C(C=CC(=O)O1)O)O","C[C@H]1CCC/C=C/[C@@H]2C[C@@H](C[C@H]2[C@@H](/C=C/C(=O)O1)O)O","InChI=1S/C16H24O4/c1-11-5-3-2-4-6-12-9-13(17)10-14(12)15(18)7-8-16(19)20-11/h4,6-8,11-15,17-18H,2-3,5,9-10H2,1H3/b6-4+,8-7+/t11-,12+,13-,14+,15+/m0/s1","KQNZDYYTLMIZCT-KQPMLPITSA-N","(1R,2R,3E,7S,11E,13S,15S)-2,15-dihydroxy-7-methyl-6-oxabicyclo[11.3.0]hexadeca-3,11-dien-5-one",280.16745924,280.16745924
"Cedrol",65575,"C15H26O",222.37,"CC1CCC2C13CCC(C(C3)C2(C)C)(C)O","C[C@@H]1CC[C@@H]2[C@]13CC[C@@]([C@H](C3)C2(C)C)(C)O","InChI=1S/C15H26O/c1-10-5-6-11-13(2,3)12-9-15(10,11)8-7-14(12,4)16/h10-12,16H,5-9H2,1-4H3/t10-,11+,12-,14-,15+/m1/s1","SVURIXNDRWRAFU-OGMFBOKVSA-N","(1S,2R,5S,7R,8R)-2,6,6,8-tetramethyltricyclo[5.3.1.01,5]undecan-8-ol",222.198365449,222.198365449
"Chamissonolide",10019140,"C17H24O6",324.4,"CC1CC2C(C(C3(C1C(CC3O)OC(=O)C)C)O)C(=C)C(=O)O2","C[C@@H]1C[C@@H]2[C@H]([C@@H]([C@]3([C@H]1[C@H](C[C@H]3O)OC(=O)C)C)O)C(=C)C(=O)O2","InChI=1S/C17H24O6/c1-7-5-10-13(8(2)16(21)23-10)15(20)17(4)12(19)6-11(14(7)17)22-9(3)18/h7,10-15,19-20H,2,5-6H2,1,3-4H3/t7-,10-,11+,12-,13-,14-,15+,17-/m1/s1","TVXMVPIXPQJTJQ-ZBUGIYPBSA-N","[(3aR,5R,5aS,6S,8R,8aS,9S,9aS)-8,9-dihydroxy-5,8a-dimethyl-1-methylidene-2-oxo-4,5,5a,6,7,8,9,9a-octahydro-3aH-azuleno[6,5-b]furan-6-yl] acetate",324.15728848,324.15728848
"cis-Jasmone",1549018,"C11H16O",164.24,"CCC=CCC1=C(CCC1=O)C","CC/C=C\CC1=C(CCC1=O)C","InChI=1S/C11H16O/c1-3-4-5-6-10-9(2)7-8-11(10)12/h4-5H,3,6-8H2,1-2H3/b5-4-","XMLSXPIVAXONDL-PLNGDYQASA-N","3-methyl-2-[(Z)-pent-2-enyl]cyclopent-2-en-1-one",164.12011513,164.12011513
